Epoch,Train Loss,Validation Loss
1,468.5101741,23.83503532
2,2.899470866,4.18318277
3,1.719036172,2.299248835
4,0.996244992,6.357260847
5,1.124082235,4.010806131
6,0.710224595,0.489576015
7,1.097097626,17.98080792
8,0.783289346,0.205895724
9,1.096010688,0.765654474
10,0.633126966,0.417957357
11,0.361249579,3.838657564
12,0.390700897,0.570534606
13,0.621503288,1.417050001
14,1.020939526,0.114769505
15,0.574573707,1.147629432
16,0.409559715,0.099801875
17,0.439704516,1.909513441
18,0.451694261,13.41999569
19,0.411317792,7.649234605
20,0.3879375,0.528568998
21,0.424539466,0.243587354
22,0.422823447,3.601008171
23,0.273164295,0.223730883
24,0.262483714,0.471725312
25,0.338019604,1.66686976
26,0.361071814,0.488345399
27,0.405933729,0.517817737
28,0.215781149,0.689410721
29,0.28203825,2.994767958
30,0.306494622,0.996264553
31,0.191235262,0.657965361
32,0.224449794,0.077934577
33,0.225394362,2.794181639
34,0.23589673,0.046496013
35,0.195683062,3.002200276
36,0.192510301,0.343083686
37,0.154808523,0.267686316
38,0.187573569,1.190954475
39,0.233192222,5.748752904
40,0.127001882,0.8799684
41,0.133602161,0.042999336
42,0.099015411,1.220906347
43,0.12054421,0.111035628
44,0.102189052,3.536183566
45,0.111838884,0.103363439
46,0.134295122,0.040494912
47,0.138393306,0.171548046
48,0.152604019,0.045848608
49,0.108630984,0.314339357
50,0.100206184,0.172729959
51,0.076371276,0.058468596
52,0.087542774,0.049977198
53,0.090425035,0.044618811
54,0.083465046,0.634482437
55,0.10671652,0.10457426
56,0.07772596,0.121587972
57,0.071946318,0.088971557
58,0.077924799,1.380212855
59,0.116238215,0.056346362
60,0.078252746,0.029421657
61,0.057609585,0.155669446
62,0.047398005,0.578924218
63,0.073128473,0.605728467
64,0.076214067,0.371000867
65,0.071612167,0.060983907
66,0.065324306,0.167919943
67,0.080824904,0.11504198
68,0.065473206,0.168186554
69,0.058107339,0.645669919
70,0.086383772,0.374092047
71,0.047597718,0.140590369
72,0.04579129,0.211307443
73,0.049520971,1.168649685
74,0.071099416,0.191559539
75,0.04851884,0.041264262
76,0.039108042,0.063467401
77,0.101085485,0.023215323
78,0.030236647,0.770240897
79,0.041047963,0.058510187
80,0.032228775,0.050867005
81,0.033928534,0.018274996
82,0.03965096,1.981963855
83,0.072712335,0.109901137
84,0.031082135,0.119852197
85,0.033462679,0.641545573
86,0.038591313,0.023025813
87,0.035288667,0.020754966
88,0.047400992,0.216956642
89,0.032286568,0.030956878
90,0.057968666,0.020392405
91,0.043019617,0.249069499
92,0.027912149,0.063189806
93,0.025284002,0.02883032
94,0.025415107,0.071050894
95,0.029011624,0.032775574
96,0.025859563,0.048537284
